Category,Subcategory,Text
Maintenance,General Repairs,FRI0011800 - Dock The dock has still not been repaired. Someone is going to fall if we dont do something soon. Third request 
Payment,Delinquency Letter,WDS2002500 - Incorrect Delinquency Letter Joanna called to inform that she had received an incorrect delinquency letter and asked for her account related details. 
Payment,Make Payment,PSD0207100 - HOA Dues Payment Leeza called us and wanted to make payment for her HOA dues  of February and March along with the additional dues via Credit Card.  
Maintenance,Other,"WDS1002100 - Oil leaked on the streets James reported that at the corner of SE 170th PL and Parkside way across the Skykomish park, there was a engine oil truck parked a couple of days back which was leaking the oil from it. Now the truck is gone but it leaked so much oil that the area is smelling bad with engine oil. And its spread in the area and on the streets 10th of a mile up the hill. This is within woodside and the smell is unbearable, he requests HOA to take some action. "
Information,Other,PMN000A100 - Cabana Booking Vibha called and wanted to know about the booking charges of the cabana. 
Payment,payment,WDS5008700 - Payment Details Rajiv informed us on call that his two checks of $192 and $246.70 had been processed and wanted to confirm his payments. He also wanted the ledger for his account and told us that he would be paying for April and May together. 
Payment,Question,WDS2001300 - Payment questions. He called in as he was not aware about where to send payments for his HOA dues. 
Payment,payment,Payment in full for 2019 HOA dues Rex wanted to know how can he make a payment for the complete 2019 HOA Dues. 
Payment,ACH Setup,ACH Setup Alissa called to check if we have received her ACH from that she sent to us via mail and also wanted to know when will we process the payment. 
Payment,Question,"WDS6008300 - Payment Inquiry She wanted to know if she can make the payment for the entire year together or she has to pay it monthly, she also wanted to know if she makes the complete then will she receive any statement for conformation. "
Payment,Make Payment,WDS1005800 - Make a payment. She wanted to make a payment for her HOA dues. 
Payment,Delinquency Letter,"FLB0003000 - Delinquency letter He called in as he received an delinquency letter, he said that he already has made the payment. "
Payment,Question,SVT5117A00 - March Payment Julie wanted to know if the march dues have been paid or not. 
Payment,Delinquency Letter,"PSD0105200 - Delinquency He called in as he received an delinquency letter, he wanted to know the breakdown of it. "
Information,Other,"PMN000C200 - Cabana Keys She called in and said that she went to the Cabana (gym) last week and noticed new door handles, and her old key does not work.  & the pool area key changed too. so she asked us to send her new keys for the Cabana area. "
Website Access,Login Issues,"DMC: Login Error While login I am getting error of ""Invalid EmailID"" "
Website Access,Login Issues,DMC: SR_Login Issue I cant login the website. 
Payment,Question,Balance Inquiry Michael wanted to know the outstanding balance of his HOA account and the monthly HOA dues for the year 2019. He mentioned that he will send a check for the total outstanding amount from 2018 and the dues for January and February 2019. 
Payment,Question,Payment in full for 2019 HOA Dues Lori wanted to know how she can make the payment of the total HOA dues for the year 2019. 
Payment,Make Payment,MOP0020501 - Make payment Wanted to make a payment for the whole year. 
Payment,Delinquency Letter,WDS2000400- Received a delinquency letter Guy reported to us that he has received a delinquency letter but he has already made the payment. He wanted a confirmation from us that we have received his payment and his account is current. 
Payment,Delinquency Letter,WDS3002600- Received a delinquency Letter Michael received a delinquency letter and wanted to know the current status of his HOA account. He mentioned that he will send us a check for the outstanding amount. 
Payment,Make Payment,Make a payment Traci called in and wanted to make her HOA Account current for this year and also for 2019.  
Payment,Delinquency Letter,WDS1003700- Received a delinquency letter Maureen called as she received a delinquency letter and wanted the breakdown for the total outstanding amount. 
Payment,Delinquency Letter,"SVT5124A00- Received a delinquency letter Sarah called to inform us that she received a delinquency letter from us, but she has already made the payments. She wanted to know the reason and the current status of the HOA account. She also wanted us to update the account by the name Sarah Peterson. "
Maintenance,Landscaping,Dead tree in greenspace I emailed in July or August about the dead tree behind my house in the greenspace near the park on 170th.  Is there any plan to remove it?  or is it being left in place for the birds?   Just want to know. 
Payment,Delinquency Letter,Delinquency Letter He received a delinquency letter and wanted to know the breakdown. 
Payment,Question,Delinquency Letter Leslye called as she received a delinquency letter and wanted to inform us that she will be sending $720 check and then from September she wants to set up on ACH.   
Payment,Question,Balance - HOA Dues David wanted to know his balance. 
Payment,Delinquency Letter,CRA0004600 - Delinquency Letter Received a call regarding the delinquency letter of $43.00. 
Information,Other,CPC0002700 - Access to the furnace Emil mentioned that his unit does not have access to the furnace. He is selling his unit and the buyer wants to know if the HOA can provide the access. 
Information,Other,WDS3010200 - Required opinion on the possibility of reimbursement from the board for the damages incurred on the car from the snow pile up in the common area Sang Han called to report about the damages on her car because of the pile of ice that accumulated in the common areas and requested an opinion if these damages would be covered by the home owners association. 
Website Access,Registration / Access Code,WDS5010100 - Website access code He wanted the new access code as the access code he has is not letting him login. 
Payment,Make Payment,WDS3005900 - Make payment. He wanted to make a payment for his HOA dues. 
Information,Other,"SVT5136C00 - Reporting a Violation He is reporting a violation against Jaime Riplinger 5136 Browns Pt Blvd NE-B, Tacoma, WA 98422 that they have erected a canopy over their parking lot which he thinks is against the HOA rules. "
Website Access,Registration / Access Code,Woodside Homeowners Association 17212 Woodside Dr SE Renton WA 98058 - Registered Incorrect Information The lot number is 45 not 10045. 
Website Access,Registration / Access Code,PMN000J200 - Website access code He was having trouble login in. 
Other,Other,WDS5006400 - Information on recent incident. He called in as he wanted to know the status of the recent incident  that took place in their HOA. 
Maintenance,Lighting,"Outdoor lighting replacement bulb of main door of my house The bulb for outdoor lighting of main door of my house  is off , please replace it  ASAP .

Thanks "
Payment,payment,"Payment Hello, How do we make a payment for our HOA dues on this site?  "
Payment,ACH Setup,ACH Setup Gerald wanted to confirm how he can setup on automatic payments and what is the due date of the payment and if there is going to be any late fees. 
Information,Other,"MOP0020600 - Operating and Reserve account information She would attend the meeting, she wanted to know the balance in HOA's Operating and Reserve account. "
Payment,Question,"KLW0001300 - Payment He stated that he had made the payment for this year, then why we sent him the coupon books. "
Payment,Make Payment,Payment in full for 2019 HOA Dues Junzheng wanted to make payment in full for 2019 HOA Dues. 
HOA Demand Request,Information,"HOA demand request - Check Lorine from WFG Title she wanted to know the address to 
 send the check. "
Payment,Question,HOA Dues He wanted to know whether his August dues are paid or not and also wanted to make a payment if there is a balance. 
Payment,Delinquency Letter,Delinquency Letter Becky called in as she received a delinquency letter and wanted to let us know that she is already on ACH 
Payment,Delinquency Letter,Delinquency Letter Sevila called in and wanted to know the breakdown of the balance she needs to pay.  
Payment,ACH Setup,ACH Form Lis called in and wanted to know the details to fill the ACH form. 
Payment,Question,Payment for 2019 HOA dues Jennifer wanted to know if she has to set up another ACH as she just received coupons for 2019 and wanted to make sure that the payments are processed on time. 
Information,Information Update,CPC0002901 - Removing Brenda Johnson's email from the records. Brad requested to remove Brenda Johnson's e-mail from the records  as they are divorced now and she no longer lives at the property. 
Payment,Make Payment,CRA0000800 - Make payment but file in collections Salim called and requested us to take his HOA payments. Also he requested us to share the information of the attorney who is dealing with his case. 
Maintenance,Lighting,MOP0020600 - Intercom issue and Light Replacement Lynn informed that her name had been taken off from the intercomm outside her building and also inquired about the electrician who has to install the lights. 
Documents,Other,"PSD0203401 - PIC Application Where can I find a PIC Application so we can make some improvements to our back yard.  All I see in documents is a one page thing that does not seem to be the application.

Thank you
Erin Oriani
e_urburtis@yahoo.com "
Documents,Budget,"WDS6001900 - Budget She is planning to selling her house, so she needs budget & financials for that. "
Payment,Delinquency Letter,"Received a delinquency letter Jenny received a delinquency letter about outstanding balance on her HOA account, while she is setup on Autopay with us. "
HOA Demand Request,Information,HOA demand information. Melinda from Redfin called to get the status for the email that was sent to us. 
Condo Questionnaire,Information,"Condo Questionnaire Kristena called in and wanted to get the status of the payment, also if we could re send the payment link. "
Payment,Onboarding Welcome Packet,DMC service Request dsd 
Information,Other,Wanted to talk to Anna Amanda called and she wanted to get the contact details of Anna. 
HOA Demand Request,HOA Demand Request,HOA Demand Request  Julie from First am title wanted to know where to send the HOA demand request. 
Payment,ACH Setup,DMC: Service Request for ACH Setup. ACH Setup. 
Maintenance,Plumbing,DMC: Service Request  for Fixing plumbing issues DMC: Pls Fix the plumbing issues 
Website Access,Registration / Access Code,"Woodside Homeowners Association 16919 165th Pl SE Renton WA 98058 - Registered Incorrect Information Hi, My name is Lishan Yen. Please correct it. Thank you. "
Payment,Question,SVT5129C00 - HOA Dues She called in as she sent us the check for her HOA due at the start of the month but it's not been cashed yet. 
Payment,Coupon Book,Coupon Books Linh called as she wanted to get the Coupon Books to be emailed to her. 
Documents,Meeting Minutes,Request for HOA documents Brittany called to get the HOA documents that are necessary to provide buyers with the upcoming sale of their home. 
Payment,Delinquency Letter,PSD0208500 - Delinquency letter She called in and said that she had paid her HOA dues in the start of this year for the whole year still she received Delinquency letter on August 15th 2018 & September 15th 2018. 
Documents,Insurance Certificate,MOP0010300 - Condo Law Master Policy Cynthia called in to get the copy of condo law master policy. 
Payment,ACH Setup,SVT5141A00 - ACH setup. She called in as she wanted to setup her HOA account on autopay with us. 
Maintenance,Other,"Hot tub (Spa) is not working Hot tub (Spa) is not running ,the water is hot but the water is not moving/bubbling , in Summer it was the same and still there is an issue , please check and let us know.

Thanks "
Other,Other,No-Parking Signs Thomas said that there are trucks parked around the neighborhood and he spoke to the City for installing no-parking signs. They asked him to get the approval from the Board. He wanted to know how to proceed on this further. 
Maintenance,Other,Doorbell Repair Leslie wanted to know when will the Doorbell of her unit get repaired. She also wanted to know about the status community fence repair and upcoming HOA meeting. 
Information,Information Update,Update about the rental status Teresa returned our call and confirmed that her unit is not rented. 
Payment,Ledger/Statement,Statement of the payment Jason Wong called to get the statement of the payments he made for HOA dues 
Resale Certificate,Resale Certificate,Resale Certificate Andrea from Redfin called to get the resale certificate.  
Maintenance,General Repairs,Street sign The signpost (the wood) in front out our unit needs to be replaced.  It is rotting near the base.  I think this was missed when the handyman came and repaired the other ones. 
Payment,Make Payment,SST0008600 - Make a payment Wanted to make a payment of $600. 
Payment,Question,"HOA Account Balance Check Emily called to know the balance in her HOA account. She also wanted to know if she pays the outstanding balance, will she be good to go for the complete year. "
Payment,Ledger/Statement,Statement of the payment Michael called to get the statement of the payments for the HOA Dues. 
Payment,ACH Setup,ACH Setup Andrew wanted to check if his HOA account is setup on automatic payments as he sent the ACH form to us via mail on 7/28/2018. 
Information,Other,"Roof Leak Issue in unit-301 Sam called to inform us that he received a call from Michael regarding getting the Antennas turned off. He mentioned that he is not the right person for this job and Michael should contact the concerned department. Sam provided the details for Bill Lam, who can be reached out at and Rachel Norde, who can be reached out to they are from T-Mobile and work in the property management department. "
Maintenance,Plumbing,Plumbing work in kitchen. He called in to inform us regarding the repair which was going to be in his unit. 
Documents,Financials,MOP0020300 - Document Request Eric called and requested us to send the financials and 2018 meeting minutes. 
Payment,Make Payment,"WDS4001900- Payment Plan Michaela called to make a payment for the HOA dues. She wanted to pay a part of the total outstanding amount and wanted to set the account on Autopay for future payments. Also, she would like to get the late fee and delinquency fee waived off the account. She would like to set up a payment plan for the HOA payments to bring her account to current.  "
Payment,Delinquency Letter,WDS1002100- Received a delinquency Letter James called to get the details about the current status of his HOA account as he received a delinquency letter. He mentioned that he already made the payments. 
Payment,Ledger/Statement,KLW0000400 - Ledger Request Xiaomeng requested us to send the ledger for her HOA account. 
Information,Other,SVT5140A00 - Call back request. She requested a call back from Nitin 
Website Access,Registration / Access Code,"Woodside Homeowners Association 16919 165th Pl SE Renton WA 98058 - Registered Incorrect Information Hi, My name is Lishan Yen. Please correct it. Thank you. "
Documents,Governing Documents,CRA0002800 - Governing Documents He wanted to know the rules and regulations to adopt a pet dog. And also wanted to know the outstanding balance on his HOA account. 
Payment,Question,KLW0000200 - Payment Inquiry. He wanted to know the payment options to pay the HOA dues. 
Maintenance,Other,WDS5003500 - Snow removal Ernest called to complain about the excessive snow on the street and wanted to know about the role of the HOA in this matter. 
Maintenance,Other,WDS1004900 - Snow Removal Mei called to know about the arrival of the snow removal company. 
Maintenance,Roof Maintenance,MOP0030400 - Roof Leak Robert called and reported the roof leak in his living room which was installed last month. 
Payment,Ledger/Statement,WDS5006200 - HOA statement She wants HOA statement for mortgage purpose and the website registration activation code. 
Payment,Make Payment,WDS6005600 - Make payment Daniel called and wanted to make the payment for his HOA dues. 
Website Access,Other,Website Broken on Mobile I logged into this website on my iPhone and the website is broken and entirely useless. The attachment shows how it renders. 
Meeting,Board Meeting,October Meeting not listed until the day of? I was logged into this website over the weekend and did not see the October board meeting listed. I now logged in this evening (Oct 15th at around 5:10pm)  and I see it appear and the meeting is tonight. The meeting should be posted well in advance so that people can make plans to attend. Preferably the meeting should be scheduled out a month in advance. Where can I find the schedule for when the November and December meetings will be held? 
Payment,Delinquency Letter,WDS3007700 - Delinquency letter She called in as she received an delinquency letter and she wanted to discuss regarding the same. 
Payment,Question,Address to send the HOA Dues payment checks Michael sent a check for HOA Dues to the previous management company which got returned to him. He wanted to know the new mailing address for sending the checks for HOA Dues. He also wanted to know how much does he need to pay for the rest of the year. 
Maintenance,Plumbing,PMN000C100 - Maintenance Report He called in to report that the water is dripping near his unit. 
Payment,Delinquency Letter,"Delinquency Letter Yuka called to check why she has received a delinquency letter, as per her records she is prepaid. "
Payment,Make Payment,ACH Setup Kim Called in and wanted to setup an automatic payment with us.  
Payment,ACH Setup,ACH Setup Michelle called in and wanted to setup her account on auto pay. 
Payment,Question,PSD0101301 - Information Request He wanted to know the address to send the payments for the HOA dues. 
Payment,Delinquency Letter,TCH0006300 - Delinquency Letter She received a delinquency letter for her HOA account. 
Payment,Delinquency Letter,"WDS1001500 - Delinquency Letter She mentioned that she received violation letters and a delinquency letter from us, she has concerns regarding the fines. She requested a ledger for her HOA account but does not have her email address. She said she would share her property manager's email address with us after taking her permission so that we can email the ledger to her. "
Payment,ACH Setup,ACH Setup Micheline wanted to know how to setup the HOA account on automatic payments as she wanted to make a payment. 
Maintenance,Roof Maintenance,Skylight glazing has lost its seal and requires replacement to eliminate the water and condensation inside the glass The skylight glazing has lost its seal and requires replacement to eliminate the water and condensation inside the glass. 
Payment,Make Payment,WDS6008101 - Dues I would like to set up automatic payments but can't find a place on this site in order to do that.   Please contact my husband at with information.  Thank you 
Payment,ACH Setup,WDS3004300 - Coupon book Is there any online payment option. 
Documents,Budget,DMC: srevice request  sr 
Documents,Letter For Dues,DMC: Letter for Dues DMC: Service Request for Letter for dues 
Maintenance,Landscaping,"Property walls Hi i was told to send a email to you regarding the back and side walls that are the property walls. There is quiet a few of them (see pics attached) that are starting to pop out and away from the wall. Ive attached 2 pics as examples. I would like to get these fixed as rocks from behind them are starting to fall out and im worried about it from a safety point like wall collapsing things like that. Please get back to me ASAP. Id really like to have this fixed.

Thanks,

DJ Elmer "
Payment,Make Payment,Make a payment. She called in to make a payment for a HOA dues and also wanted to setup on ACH. 
Payment,Question,PSD0200301 - Payment questions She wanted to know if we have a online payment option on the website. 
Payment,Question,PSD0205500 - Payment inquiry She wanted to know the outstanding balance on her HOA account. 
Payment,Delinquency Letter,SVT5123A00 - Reason for being sent a Delinquency letter Joanna called to inform that she had received a delinquency letter and she wanted to know the reason why she was sent this as she always pays her dues on time. 
Payment,Coupon Book,"SST0000401 - Coupon Received coupon book, want to make payment for the whole year. "
Payment,Question,Payment information Jane called in and wanted to know where we have received the payment she made through check. 
Payment,ACH Setup,Payment she wanted to let us know that we have to process the HOA dues from her savings account wherein we have processed from her check in account. 
Information,Other,"Special Assessment Information The Caller is a real estate agent,  she wanted to know about the special assessment in Palomino at Redford Ranch as the buyer of this property would like to get the details.  "
Information,Other,Special Assessment information.  He wanted to know whether there are any special assessment for the unit.  
Information,Other,"Night Out Event Details Piyajit called to check if the Night out event is today. She did not receive the email for it from us. She also wanted to check the HOA Account Balance for both the properties she owns - 16629 168th Ter SE and 17201 Woodside Dr SE, Renton, WA.
Her email address is lawrenceep@comcast.net. 
 "
Payment,Make Payment,Payment in full for 2019 HOA Dues Robert wanted to make a payment for the total HOA dues for the year 2019.  
Documents,Budget,DMC: S_R_R de 
Maintenance,Other,MOP0020600 - Intercom Servicing Lynn called regarding the servicing of Intercom system which had been down all week. 
Maintenance,Other,Treadmill is not working Patrick reported that the treadmill in the cabana is not working. He wants us to get it repaired as soon as possible. 
Payment,Ledger/Statement,CPC0000301- HOA Ledger Request Shashidhar requested a statement of his HOA payments as of today on his email. 
Payment,Coupon Book,MOP0030400 - Coupon books I want to know when will i receive the coupon books for the year 2019. 
Payment,Make Payment,PSD0104100 - Make a payment Wanted to make a payment to bring the Account current as of today 
Payment,Late Fees,WDS1009000 - Payment inquiry He wanted to talk to Anna regarding late fees to be waived off. 
Payment,Question,SVT5112C00 - Payment information She wanted to confirm the address to send the payments for the HOA dues and she also wanted to know that when will she receive new coupon books. 
Payment,ACH Setup,WDS5010700 - ACH Setup Westly called and wanted to know why he received the delinquency notice and and the 4th violation letter. He also wanted his payments to be setup on ACH. 
Information,Other,Suspicious Activity She called in to inform us about another Suspicious Activity which took place yesterday evening in the association at the same house where police came two weeks ago. She wanted to know more about that incident. 
Payment,Question,Notice about Payment Marc Horn wanted to know about why he has received the delinquency notice. 
Payment,Delinquency Letter,"SVT5124A00 - Delinquency Letter Sarah called and informed that she had received an incorrect delinquency letter of $275.00 but she had made her payment on January 23rd, 2019 and January 24th, 2019. She also requested to change the name of the homeowner to Sarah Peterson. "
Payment,Delinquency Letter,"MOP0010600 - Delinquency Letter Sonyo called to inform that she had received an incorrect delinquency letter as she claims to have made her monthly HOA payment on February 3rd, 2019. "
Information,Other,Need a call back from Nitin Sandra requested a call back from Nitin regarding the sale of a unit in the association. 
Maintenance,General Repairs,"Multiple lost seals were noted on the windows. Multiple lost seals were noted in the glazing when inspecting windows from the interior -
these 3 panes are in the LR area. This has resulted in fogging between the panes of glass that can not be
cleaned without glazing repair or replacement. Inquire with the HOA to determine if glass replacement is
a part of HOA responsibility or is the responsibility of the individual unit owners. Hire a glass replacement
company to further evaluate and replace all windows with lost seals. "
Payment,Question,"Payment He wanted to make a payment, but decided to send the check for the HOA dues. "
Maintenance,Other,PMN000C300 - Snow removal Akshay called and wanted to know when would the snow removal company arrive. 
Payment,Ledger/Statement,WDS6005300 - Ledger and ACH Neetu called to know her outstanding HOA account balance and also wanted to setup her account on ACH. She also wanted the ledger on her e-mail . 
Payment,Make Payment,WDS1005500 - Payment by check Micheal called to ask for his outstanding balance for the whole year and wanted to make the complete payment by check. 
Payment,Make Payment,"WDS3006300- Make Payment Jonathan wanted to make payment, we provided him the  payment options.  "
Maintenance,Landscaping,WDS6005900 - Landscaping Joseph called to inquire about the landscaper as he was having issues with the falling leaves. Also he wanted to know about the approved colors by the board for staining the fence. 
Payment,Question,Payment in full for 2019 HOA Dues Mark wanted to know how he can make the payment for the complete years HOA dues. 
Payment,Delinquency Letter,"Received a Delinquency Letter Randy received a delinquency letter dated December 15th, 2018 but the payment was processed through ACH on December 17th, 2018. "
Payment,ACH Setup,LMH0000900- ACH Setup Vladimir wanted to make a payment for the HOA dues and was interested in setting up ACH. 
Payment,ACH Setup,"WDS3000800 ACH Setup Miryaka received a delinquency letter from us, but she has already sent us the ACH form and the copy of a voided check in October 2018. Since then there has not been any payment processed through ACH.  "
Other,Other,"Cabana Booking on 9/8 Hi Team,
We are planning a get together with a few friends and need to use the Cabana on 9/8. Can you please confirm it is available and book the slot in my name? Also, will the Cabana usage charges be deducted along with HoA or do I need to pay separately?

Thanks.
Kanwar "
Maintenance,Lighting,"Malfunctioning street light The street light in front of our house regularly blink on and then off at 30 second intervals. So, it's pretty much flashing on and off all night long (it used to just be on all the time, so this is perhaps it's last dying signal for help). "
Payment,Question,Payment for HOA Dues Keith wanted to know her HOA dues and wanted to make a payment. 
Payment,Delinquency Letter,WDS3005300 - Delinquency Letter He said that he received a delinquency letter for his HOA account. 
Payment,Delinquency Letter,Received a Delinquency Letter Justin received a delinquency letter and was not sure how he is delinquent on the HOA dues as he made the payments for all the months. 
Payment,Delinquency Letter,"Delinquency Letter Janelle called in as she received a delinquency letter and wanted to know why there is a charge of $25, she is been calling us every 6 months and also wanted to know that why we dont sent out letter to remind regarding HOA dues. "
Payment,Delinquency Letter,"Payment Inquiry Jame s called  to inform us that he sent us a check on  9/8/18, check number 1508 for $160.66 which was not cashed. Today he has sent another check, number 1509 for $160.66. But he received a delinquency letter for $107.22 which included a late fee. "
Payment,Question,ILH0008401 - Payment Questions He wanted to know the HOA dues for this quarter. 
Payment,Delinquency Letter,Statement of the payment.  Nancy called in to get the balance and statement of the HOA Dues. Her email is 
Meeting,Board Meeting,Testing the New Portal When is the next Board meeting?  
Information,Information Update,DMC: Service 06 Aug TEst 
Payment,Delinquency Letter,"WDS6008100 - Delinquency Letter She received an delinquency letter, she stated that she had made the payment for the month of October. "
Payment,Delinquency Letter,PSD0108000 - Delinquency letter She received a letter which stated that her HOA account is delinquent by $205.00. She stated that she has already paid the HOA dues. 
Payment,Delinquency Letter,"WDS6003400 - Delinquency letter She received a delinquency letter, which stated that her HOA account is delinquent. But she has already made the payment for the month of October. "
Website Access,Registration / Access Code,Woodside Homeowners Association 17212 Woodside Dr SE Renton WA 98058 - Registered Incorrect Information The lot number is 45 not 10045. 
Information,Other,WDS1002400 - Proxy submission Minh gave us a call to inform that she has sent us her proxy form.  
Website Access,Registration / Access Code,Access Code Elaine wanted to get the access code for the association website. 
Payment,Question,"Question regarding ACH payment  Li Yen wanted to check if we processed the ACH payment, because her account was debited by $45.22.  "
Payment,Question,WDS6001500 - Outstanding balance Paid for 4 months together in the month of September 2018 ( September 2018 to January 2019. As the dues have increased from $45.22 to $48. what is the outstanding balance as of today and how much to pay in the month of February.   
Resale Certificate,Information,"10110 Greenwood Ave N 102 : HOA Questions Kevin Bohnert with Winderemere called to get the answers of some questions related to the Mt. Olympus View Condominium Association. He is a real estate agent representing 10110 Greenwood Ave N 102.
 "
Payment,Make Payment,Make a payment Michael called in to make payment through Credit card to get his account current. 
Payment,Question,Balance - HOA Dues He wanted to know his HOA dues. 
Website Access,Login Issues,"Website Access Irene called and reported as she was not able to login in the website, requested immediate help. "
Information,Other,Information about the issue with the neighbor Mark wanted to know if we have any documentation about his issue with his neighbor regarding the fence line of his property. Me mentioned that this was from two years back when the Board of the association resolved the case. He wanted to get the contact information of any Board member so that he can ask them if they have anything on records regarding his case. He also wanted to know the balance of his HOA account.  
Payment,Coupon Book,WDS3007800 - Payment method I want to know the payment method for the year 2019 as i have not received anything so far and also wanted to setup on his account on Autopay. 
Website Access,Login Issues,Website Access Code Cherie called in as she was not able to login on the website. 
Payment,Delinquency Letter,Delinquency Letter Keith called as he received a delinquency letter stating that he is due with $200 and he wanted to know why there is an addition on $25. 
Information,Information Update,DMC: Service Request for Information Updates Information updates 
Other,Other,"WDS5006300 - Kids sliding on the hill and damaging the fences. Richard called to inform us that there is a small hill near his house.Kids are sliding down the hill on the snow and hitting his fence.Kids have already broken a few boards of the fence and he has replaced them. He is a doctor himself and is more concerned about the kids than his fence, since there are some older kids who slide and run over the little kids which might hurt the little ones or themselves. Hitting on his fence damages the fence but the kids can also get hurt. There is no Board put on the hill mentioning “No sliding on the hill”.
It is supposed to snow again, kids have already got hurt before. He has put a sign himself for “No hitting on the fence” but it does not stop the kids. He wants the HOA to address this issue as vehicles also pass by and hitting the fence and running and sliding over each other may hurt the kids and this will then be a liability for the HOA. Also his fence is getting damaged and broken. "
Payment,Question,SST0007301 - Payment Question Larry called and wanted to know that whether he could make payment for his HOA dues in the month of March. He added that his HOA payment was rejected for the month of January as his account had insufficient funds which happened because he had to pay the hospital bills for his mom. 
Information,Other,WDS3006400 - HOA account Payment She stated that there were some violation fines from previous management company. she is retired and her email was at work and no access to that email now. So she cant find any proof from the previous company but she is sure that they waived off those fine. 
Information,Other,WDS1007601 - Snow removing vendor Roxanne called to ask about the vendor that involved in snow removing in Woodside Homeowners Association. 
Other,Other,"WDS5010600 - Incorrect Violation Notice Leanne called to inform that the violation letter that she had received was incorrect and according to the picture attached, it was her neighbors house. "
Payment,Question,WDS1006000 - Refund of the Balance in the HOA account. Serah wanted to know the outstanding balance in her HOA account. Also she requested us to deduct the HOA Dues for 1 year from her account anf refund the remaining amount. 
Payment,Question,"Payment for January 2019 HOA Dues Jamie was unaware of the updated monthly HOA dues for 2019, i.e. $48/month and sent a check for $45.22. She was concerned that she will fall short by few dollars for January 2019.
 "
Payment,Make Payment,Payment in full for 2019 Suki wanted to pay in full for the year 2019. She wanted to know how can she do that using the monthly payment coupons which she received. 
Website Access,Registration / Access Code,nan 
Payment,Question,Payment Danilo called and wanted to know how can he pay till the month on January 2019. 
Payment,ACH Setup,FLB0000401 - ACH Setup He wanted to setup the account on auto pay (ACH). 
Payment,Make Payment,"Make Payment Brenda wants to make a payment for 12526  SE 32nd St. 98005 BELLEVUE , WA.  Her email is "
Information,Keys,DMC: I want Know what is the procedure to get the store keys. DMC: I want to park my bicycle but i have lost my keys and i want get it as soon as possible.   
Website Access,Login Issues,"DMC: Login Error While login I am getting error of ""Invalid EmailID"" "
Maintenance,Landscaping,DMC: Maintenance landscaping There are overgrown grass outside my lawn and in need of maintenance as there are guest coming at my place 
Violations,Violation,"DMC: Parking  I want violation to be sent john who resides next to me, he doen't park his vehicle properly and it creates a problem for me to remove my vehicle, when ever he opens his door, it scratches my car. i have told him 1000 of times yet he does the same. "
Maintenance,Playground,Out wall paint I need my wall to be painted as it has generated few patches on outer wall 
Maintenance,Extermination,DMC:  ants  There are ants outside my house at right side of the wall. it needs to taken care as soon as possible 
ARC,ARC,DMC: AC Installation.  I want to install ac at my place. 
Information,Other,"MOP0020500 - Information Genae crowford from quicken loans on behalf of Sarah Jaynes owner of 10110 Greenwood Ave N 205, Seattle, WA 98133, called from (877) 784-2508, she waned to get information regarding the the house. she has send us the form to services@propvivo.com, which we need to fill and send. Her email is 
genaecrawford@quickenloans.com "
Website Access,Login Issues,"SST0007401 - Website access Christina Ramos owner of 3494 Rozene Way NE, Bremerton, WA 98311, called from (915) 538-5295, she wanted to get her password reset. Her email is cjr6198@gmail.com. "
Information,Other,"WDS3001000 - Landscaping information. Cameron Stephens owner of 17135 164th Way SE, Renton, WA 98058, called from (206) 450-8410, he wanted to know whom should he contact regarding the trees that are dead which are needed
 to be removed from the backside of his house. His email is nikocam@msn.com. "
Payment,Question,"Payment Due Date Inquiry Sheryl Nelson at 1251 227th Ln. SE, Sammamish, WA recently set up a payment arrangement. She needs to know the due date and payment amount. Her email address is snelson6@hotmail.com. "
Maintenance,Landscaping,"CPC0000402 - Sprinklers Zachary Powers owner of 3030 125th Ave SE # 4, Bellevue, WA 98005 called from (206) 313-8718 as he wanted ro report us about sprinklers issues and loud noises occuring from water valves. His email is zpowers00@yahoo.com
He wanted us to directly reach out to his tenant Andrew Primrose at (206) 390-6770 as he will be the correct person to discuss the issue in detail. "
ARC,ARC,"WDS3004100 - ARC Request Jeffery Wong owner of 16920 164th Way SE, Renton, WA, 98058 called from (206) 372-0958,
he is willing to colour the fence with the same colour but wanted to check if he needs to send an ARC request. "
ARC,ARC,"CRA0001600 - Home Alteration Rquest (HAR) Kimberly w/o Prience Moore owner of 27903 124th Pl SE, Kent, WA, 98030 called from (206) 313-0567, she wanted to get the Home Alteration Request (HAR) form to submit a request to remove a tree from her property. Her email is "
Proposal,Questions,"Lead Vikram from Highcroft HOA owner of 1723 229th Pl SE, Sammamish, WA 98075, called from (425) 214-2172, was looking for new property management company. His email is "
Information,Other,"WDS1000100 Shannon golden W/O Daniel Golden owner of Daniel Golden 17312 Parkside Way SE, Renton, WA, 9805, called from (206) 595-1985, she had few questions regarding. His email is the3goldensrule@msn.com. "
Payment,ACH Setup,"WDS1002800 Frederick Calkins owner of 17115 Parkside Way SE, Renton, WA 98058 and 16116 Parkside Way SE, Renton, WA 98058 called from (206) 459-2833, he wanted to know his HOA dues for both the properties  and asked for Auto Payment Setup (ACH). His email is "
ARC,ARC,"WDS3004100 - ARC Request Jeffery Wong owner of 16920 164th Way SE, Renton, WA, 98058 called from (206) 372-0958,
he is willing to colour the fence with the same colour but wanted to check if he needs to send an ARC request. "
